Instance,Runtime,K,Optimal_Value
1,0.003000020980834961,3,3.9048603018766306e-07
2,0.0,1,3.9057646322331375e-07
3,0.005000114440917969,2,3.903234380972372e-07
4,0.0,3,3.9039206759258893e-07
5,0.016000032424926758,3,3.904800357174024e-07
6,0.014999866485595703,3,3.90340071664652e-07
7,0.015999794006347656,3,3.903541356304805e-07
8,0.016000032424926758,3,3.9021226215346426e-07
9,0.0009999275207519531,4,3.9035038584901e-07
10,0.014999866485595703,2,3.905685811260795e-07
11,0.0,2,3.906161281856906e-07
12,0.015999794006347656,2,3.904169489804664e-07
13,0.015000104904174805,3,3.9057147009060597e-07
14,0.014999866485595703,10,3.9040361547318875e-07
15,0.020999908447265625,3,3.9049026087618686e-07
16,0.023000001907348633,4,3.905912359062137e-07
17,0.014999866485595703,5,3.904871122928743e-07
18,0.016000032424926758,2,3.9045167799760645e-07
19,0.023000001907348633,4,3.905873347207963e-07
20,0.021999835968017578,6,3.905979291421263e-07
21,0.016000032424926758,3,3.9034397442745534e-07
22,0.016000032424926758,4,3.905350328844476e-07
23,0.0,10,3.904172198743585e-07
24,0.015000104904174805,5,3.9034445833119535e-07
25,0.015000104904174805,3,3.9022931039683886e-07
26,0.015000104904174805,4,3.9045056338279503e-07
27,0.016000032424926758,3,3.90473842481872e-07
28,0.0,3,3.905691988739699e-07
29,0.015999794006347656,10,3.9058537726965576e-07
30,0.0,3,3.904920051626789e-07
31,0.015999794006347656,3,3.9052586659701807e-07
32,0.006000041961669922,3,3.905049245410825e-07
33,0.016000032424926758,5,3.902887196808993e-07
34,0.0,3,3.904099443784832e-07
35,0.015000104904174805,2,3.905338875992326e-07
36,0.014999866485595703,4,3.905105935199135e-07
37,0.021999835968017578,2,3.905663882613247e-07
38,0.0,4,3.9034794538952976e-07
39,0.016000032424926758,5,3.9041570581065003e-07
40,0.016000032424926758,3,3.9059520640593037e-07
41,0.015000104904174805,3,3.905726345294716e-07
42,0.016000032424926758,2,3.905227915931346e-07
43,0.016000032424926758,10,3.902911858925657e-07
44,0.014999866485595703,4,3.905949771550775e-07
45,0.016000032424926758,4,3.9060678939022625e-07
46,0.016000032424926758,3,3.9061609974216304e-07
47,0.016000032424926758,5,3.902747353287585e-07
48,0.0279998779296875,3,3.902683286417431e-07
49,0.01699995994567871,2,3.9046906101343655e-07
50,0.018000125885009766,10,3.9036779071516066e-07
51,0.01699995994567871,3,3.9057291372640774e-07
52,0.020999908447265625,4,3.9052537453065094e-07
53,0.016000032424926758,3,3.9055686179060226e-07
54,0.0,4,3.9054926725632324e-07
55,0.015999794006347656,3,3.902784648548978e-07
56,0.016000032424926758,10,3.9055288944886686e-07
57,0.016000032424926758,3,3.9045926286544674e-07
58,0.0,3,3.9027811715963026e-07
59,0.003000020980834961,4,3.9035946276597085e-07
60,0.014999866485595703,10,3.904342140098507e-07
61,0.016000032424926758,2,3.905199014274919e-07
62,0.015000104904174805,3,3.904970121301751e-07
63,0.0070002079010009766,2,3.904603210680086e-07
64,0.016000032424926758,2,3.903741173451712e-07
65,0.015000104904174805,3,3.904054697904128e-07
66,0.009999990463256836,10,3.904051227560044e-07
67,0.0,3,3.9044742570388177e-07
68,0.020000219345092773,3,3.9039795482818614e-07
69,0.016000032424926758,4,3.9058095208288197e-07
70,0.014999866485595703,4,3.903915536494187e-07
71,0.0019998550415039062,4,3.903887011124653e-07
72,0.01900005340576172,3,3.904502779270511e-07
73,0.003000020980834961,4,3.904921714125006e-07
74,0.016000032424926758,10,3.905542504931666e-07
75,0.016000032424926758,3,3.905590483440889e-07
76,0.026000022888183594,2,3.9038177059086863e-07
77,0.0,6,3.905340910179064e-07
78,0.016000032424926758,3,3.90548786896697e-07
79,0.016000032424926758,3,3.904324780952493e-07
80,0.016000032424926758,10,3.905350443477897e-07
81,0.0,4,3.904996854993854e-07
82,0.020999908447265625,10,3.9055692271446957e-07
83,0.02499985694885254,3,3.906035750254361e-07
84,0.015000104904174805,3,3.904810936226957e-07
85,0.016000032424926758,4,3.9046588188886845e-07
86,0.0,4,3.905001208063949e-07
87,0.015999794006347656,5,3.9054745809285424e-07
88,0.0,2,3.9051002491249515e-07
89,0.014999866485595703,2,3.9047033260646094e-07
90,0.016000032424926758,3,3.905626677661325e-07
91,0.016000032424926758,3,3.9057825024001737e-07
92,0.015000104904174805,3,3.90575149663477e-07
93,0.015999794006347656,3,3.90583119543924e-07
94,0.016000032424926758,3,3.904431134050887e-07
95,0.015000104904174805,2,3.9054373957415436e-07
96,0.016000032424926758,3,3.903711933868506e-07
97,0.010999917984008789,3,3.90455443123972e-07
98,0.0,3,3.9057816031119603e-07
99,0.019999980926513672,2,3.904357033024896e-07
100,0.016000032424926758,4,3.905672311117901e-07
